InvoiceNo,InvoiceDate,CustomerID,Country,Quantity,UnitPrice,TotalPrice
INV14271,27-02-2022,12531,Germany,5,425.46,2127.3
INV11220,10-03-2023,11010,India,10,425.46,4254.6
INV10537,11-06-2022,12634,France,7,425.46,2978.22
INV12550,02-04-2023,12602,India,9,425.46,3829.14
INV15699,30-11-2022,10130,Germany,3,425.46,1276.38
INV14307,09-06-2023,12639,UK,4,425.46,1701.84
INV10919,08-09-2022,10065,India,9,425.46,3829.14
INV15735,20-12-2022,12977,France,12,425.46,5105.52
INV11372,13-01-2022,10960,France,12,425.46,5105.52
INV13257,02-08-2022,12314,India,-2,425.46,-850.92
INV12583,20-03-2023,11484,UK,4,425.46,1701.84
INV13656,23-07-2022,12847,USA,4,425.46,1701.84
INV14441,18-12-2022,10298,France,13,425.46,5530.98
INV14462,25-03-2022,12418,USA,11,425.46,4680.06
INV12778,09-03-2023,11277,Germany,13,425.46,5530.98
INV15000,12-05-2022,10244,Germany,0,425.46,0
INV13239,15-02-2022,11019,USA,5,425.46,2127.3
INV11092,02-01-2022,10091,USA,14,425.46,5956.44
INV11456,08-06-2023,12237,UK,-2,425.46,-850.92
INV10391,13-12-2022,11073,India,10,425.46,4254.6
INV15195,23-06-2023,11669,UK,1,425.46,425.46
INV12871,07-03-2022,11238,USA,2,425.46,850.92
INV12298,06-08-2022,10467,France,8,425.46,3403.68
INV13516,28-04-2022,11496,France,6,425.46,2552.76
INV13116,28-03-2022,12200,France,2,425.46,850.92
INV13775,25-09-2022,11004,Germany,0,425.46,0
INV11349,07-02-2023,10168,Germany,1,425.46,425.46
INV13896,13-02-2023,12528,Germany,13,425.46,5530.98
INV11176,10-04-2023,11267,Germany,2,425.46,850.92
INV14279,02-06-2022,11141,Germany,1,425.46,425.46
INV12997,26-03-2022,11944,India,14,425.46,5956.44
INV14859,12-02-2022,12657,India,10,425.46,4254.6
INV14032,10-05-2023,11893,India,14,425.46,5956.44
INV14386,13-07-2022,10210,UK,13,425.46,5530.98
INV10312,26-01-2022,10965,India,-1,425.46,-425.46
INV15582,14-11-2022,11162,India,0,425.46,0
INV10772,05-06-2022,12158,India,4,425.46,1701.84
INV11161,27-10-2022,11143,UK,4,425.46,1701.84
INV11219,13-11-2022,12663,Germany,14,425.46,5956.44
INV15040,27-06-2022,11137,UK,14,425.46,5956.44
INV10257,03-04-2023,11204,UK,8,425.46,3403.68
INV11728,06-02-2023,11864,France,13,425.46,5530.98
INV12448,17-02-2023,12088,UK,-2,425.46,-850.92
INV15469,10-03-2023,12639,Germany,10,425.46,4254.6
INV12988,13-02-2023,10287,USA,1,425.46,425.46
INV10764,27-01-2023,10528,USA,13,425.46,5530.98
INV15703,01-02-2023,11803,UK,9,425.46,3829.14
INV12793,23-02-2023,10714,UK,-1,425.46,-425.46
INV12851,19-04-2022,10047,USA,14,425.46,5956.44
INV15568,04-01-2023,11140,UK,2,425.46,850.92
INV15437,22-02-2023,11377,India,1,425.46,425.46
INV15511,27-07-2022,11528,France,8,425.46,3403.68
