CustomerID,Recency,Frequency,Monetary,RFM_Score,Segment
10003.0,191,4,12763.8,355,Loyal Customers
10012.0,59,2,6381.9,423,Loyal Customers
10013.0,110,2,5956.44,423,Loyal Customers
10015.0,57,2,5530.98,422,Loyal Customers
10034.0,96,1,4254.599999999999,412,Loyal Customers
10037.0,151,3,9785.579999999998,344,Loyal Customers
10043.0,63,2,7232.82,423,Loyal Customers
10053.0,85,1,2978.22,411,Loyal Customers
10054.0,103,1,4254.599999999999,412,Loyal Customers
10057.0,70,1,3829.14,412,Loyal Customers
10068.0,62,1,4254.599999999999,412,Loyal Customers
10070.0,67,3,7232.82,443,Loyal Customers
10074.0,91,2,11061.96,424,Loyal Customers
10085.0,180,6,22123.92,355,Loyal Customers
10097.0,112,2,5105.5199999999995,422,Loyal Customers
10103.0,104,1,2127.2999999999997,411,Loyal Customers
10104.0,63,2,5105.5199999999995,422,Loyal Customers
10105.0,145,4,12763.8,355,Loyal Customers
10108.0,101,2,8083.74,423,Loyal Customers
10110.0,99,2,9360.119999999999,424,Loyal Customers
10123.0,96,2,6807.359999999999,423,Loyal Customers
10141.0,184,3,11061.96,344,Loyal Customers
10142.0,64,1,1276.3799999999999,411,Loyal Customers
10144.0,79,2,11061.96,424,Loyal Customers
10145.0,191,4,8509.199999999999,354,Loyal Customers
10146.0,92,1,3403.68,411,Loyal Customers
10147.0,68,2,7232.82,423,Loyal Customers
10153.0,92,2,7232.82,423,Loyal Customers
10171.0,169,5,9360.119999999999,354,Loyal Customers
10184.0,70,2,8509.199999999999,424,Loyal Customers
10185.0,114,5,16167.48,355,Loyal Customers
10192.0,71,2,5105.5199999999995,422,Loyal Customers
10193.0,70,1,2978.22,411,Loyal Customers
10204.0,148,4,15742.019999999999,355,Loyal Customers
10206.0,63,2,3403.68,421,Loyal Customers
10217.0,58,1,1701.84,411,Loyal Customers
10228.0,57,2,5956.44,423,Loyal Customers
10229.0,67,3,6807.359999999999,443,Loyal Customers
10234.0,110,2,4680.0599999999995,422,Loyal Customers
10236.0,91,2,5530.98,422,Loyal Customers
10244.0,62,1,2127.2999999999997,411,Loyal Customers
10248.0,71,1,4254.599999999999,412,Loyal Customers
10249.0,97,2,3829.14,422,Loyal Customers
10260.0,68,2,7658.28,423,Loyal Customers
10262.0,187,5,14891.099999999999,355,Loyal Customers
10266.0,175,5,16592.94,355,Loyal Customers
10268.0,73,1,425.46,411,Loyal Customers
10269.0,53,3,5530.98,442,Loyal Customers
10271.0,64,1,2552.7599999999998,411,Loyal Customers
10285.0,74,1,4254.599999999999,412,Loyal Customers
10287.0,132,4,13614.72,355,Loyal Customers
10300.0,110,1,4680.0599999999995,412,Loyal Customers
10303.0,89,3,5530.98,442,Loyal Customers
10307.0,167,3,8934.66,344,Loyal Customers
10309.0,96,2,6807.36,423,Loyal Customers
10311.0,97,2,5530.98,422,Loyal Customers
10314.0,73,2,6381.9,423,Loyal Customers
10315.0,132,3,12763.8,345,Loyal Customers
10327.0,91,2,6807.36,423,Loyal Customers
10328.0,135,4,8934.66,354,Loyal Customers
10330.0,55,1,1701.84,411,Loyal Customers
10331.0,147,3,9360.119999999999,344,Loyal Customers
10337.0,71,1,1701.84,411,Loyal Customers
10346.0,82,2,8934.66,424,Loyal Customers
10357.0,95,1,850.92,411,Loyal Customers
10373.0,90,2,6381.9,423,Loyal Customers
10376.0,84,2,850.92,421,Loyal Customers
